"Appendix S1. Occurrence data for the four sarcophagid species used in this study (L. crispina, L. crispula, O. amorosa and O. xanthosoma). Empty cells are missing data (i.e. were absent in specimens labels or method description).",,,,,,,,,,,,,,,,
Country,State_or_Province,Municipality,Locality,Latitude,Longitude,Species_name,metodo_coleta,Determiner,Collector,Reference,Data,Remarks,Original genus,Original species,Modified name?,Source of data
Argentina,Missiones,Puerto Esperanza,,-26,-54,Lipoptilocnema crispina,,,,"MULIERI, Pablo Ricardo; MELLO-PATIU, Catia Antunes de; ABALLAY, Fernando H. Taxonomic revision of Lipoptilocnema (Diptera: Sarcophagidae), with notes on natural history and forensic importance of its species. Journal of medical entomology, v. 54, n. 1, p. 50-75, 2017.",xii.1976,,Lipoptilocnema,crispina,no,Literature
Brasil,SP,São Paulo,,-23.65008,-46.64811,Lipoptilocnema crispina,,,,"LOPES, H. de S. Sarcophagid flies Diptera from Pacatuba, State of Ceará, Brazil. Revista Brasileira de Biologia, 1974.",,,Sarcophaga,crispina,yes,Literature
Brasil,RJ,Angra dos Reis,,-22.98678,-44.35299,Lipoptilocnema crispina,,,,,6.vi.1971, on human feces,Lipoptilocnema,crispina,no,MZUSP
Brasil,RJ,Paracambi,Floresta,-22.6219,-43.72558,Lipoptilocnema crispina,,H.S. Lopes,H.S. Lopes,,04.x.2001,peixe,Lipoptilocnema,crispina,no,MNRJ
Brasil,ES,Baixo Guandu,,-19.56988,-40.98284,Lipoptilocnema crispina,,H.S. Lopes,H.S. Lopes,,ix.1970,,Lipoptilocnema,crispina,no,MZUSP
Brasil,MG,Alvarenga,Pico da Aliança,-19.394979,-41.669324,Lipoptilocnema crispina,,,,"BARBOSA, Rodrigo Rocha et al. New records of calyptrate dipterans (Fanniidae, Muscidae and Sarcophagidae) associated with the decomposition of domestic pigs in Brazil. Memórias do Instituto Oswaldo Cruz, v. 104, n. 6, p. 923-926, 2009.",09.v.2021,1400m,Lipoptilocnema,crispina,no,INMA
Brasil,ES,Linhares,,-19.38213,-40.02875,Lipoptilocnema crispina,,"verificado por Gomes, M.M.",,,vi.1972,,Lipoptilocnema,crispina,no,Literature
Brasil,MT,Chapada dos Guimarães,"Parque Nacional Chapada dos Guimarães, Vale da Benção",-15.43631,-55.43969,Lipoptilocnema crispina,,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,18.i.2012,,Lipoptilocnema,crispina,no,MNRJ
Brasil,MT,Chapada dos Guimarães,,-15.12326,-55.54634,Lipoptilocnema crispina,,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,12.vii.2012,,Lipoptilocnema,crispina,no,Literature
Brasil,CE,Pacatuba,,-3.95253,-38.59584,Lipoptilocnema crispina,,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,22.vii-24.vii.1973,,Lipoptilocnema,crispina,no,Literature
Brasil,PR,Curitiba,,-25.47789,-49.28826,Lipoptilocnema crispula,,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,10.iii.1972,,Lipoptilocnema,crispula,no,Literature
Brasil,RJ,Angra dos Reis,,-22.98678,-44.35299,Lipoptilocnema crispula,,"verificado por Gomes, M.M.",M.M. Gomes & C.A. Mello-Patiu,,12.xi.1972," near a secondary forest, using human feces and rotten coccus comosa as bait",Lipoptilocnema,crispula,no,MZUSP
Brasil,RJ,Rio de Janeiro,Grajaú,-22.92322,-43.45093,Lipoptilocnema crispula,,"verificado por Gomes, M.M.",Nihei et al.,,2.xi.1972,Paratype,Lipoptilocnema,crispula,no,MZUSP
Brasil,RJ,Paracambi,Floresta,-22.6219,-43.72558,Lipoptilocnema crispula,,"verificado por Gomes, M.M.",Nihei et al.,,04.x.2001,peixe,Lipoptilocnema,crispula,no,MNRJ
Brasil,RJ,Petrópolis,Taquara,-22.39855,-43.15731,Lipoptilocnema crispula,,,,"DE SOUZA, Carina Mara; PAPE, Thomas; THYSSEN, Patricia Jacqueline. Oxysarcodexia Townsend, 1917 (Diptera: Sarcophagidae)—a centennial conspectus. Zootaxa, v. 4841, n. 1, p. 1-126, 2020.",27.vi.1971,in human feces,Lipoptilocnema,crispula,no,MZUSP
Brasil,MS,Dourados,,-22.14518,-54.838,Lipoptilocnema crispula,,"verificado por Gomes, M.M.","Souza-Dias, Monné e equipe",,iii.1974,,Lipoptilocnema,crispula,no,Literature
Brasil,MS,Campo Grande,Reserva Biológica UFMS,-20.91317,-54.24969,Lipoptilocnema crispula,,,,"Barbosa, L.S.; Cunha, A.M.; Couri, M.S.; Maia, V.C. Muscidae, Sarcophagidae, Calliphoridae e Mesembrinellidae (Diptera) da Estação Biológica de Santa Lúcia (Santa Teresa, Espírito Santo, Brasil) Bol. Mus. Biol. Mello Leitão 33:131-140, 2014",22.xi.2013,,Lipoptilocnema,crispula,no,MNRJ
Brasil,MS,Bodoquena,Fazenda Califórnia,-20.55336,-56.69249,Lipoptilocnema crispula,,H.S. Lopes,P.C. Elias,,6.x.2011,,Lipoptilocnema,crispula,no,Literature
Brasil,MG,Belo Horizonte,,-19.90274,-43.95988,Lipoptilocnema crispula,,H.S. Lopes,P.C. Elias,,1940,73,Lipoptilocnema,crispula,no,MZUSP
Brasil,ES,Baixo Guandu,,-19.56988,-40.98284,Lipoptilocnema crispula,,H.S. Lopes,P.C. Elias,,ix.1970,,Lipoptilocnema,crispula,no,MZUSP
Brasil,ES,Colatina,Itapina,-19.48626,-40.65559,Lipoptilocnema crispula,,C. C. Souza,C. Elias,,xi.1970,,Lipoptilocnema,crispula,no,MZUSP
Brasil,MG,Uberlândia,,-18.98319,-48.29723,Lipoptilocnema crispula,,,,"ROSA, Thiago Augusto et al. Arthropods associated with pig carrion in two vegetation profiles of Cerrado in the State of Minas Gerais, Brazil. Revista Brasileira de Entomologia, v. 55, p. 424-434, 2011.",2005-2006,,Lipoptilocnema,crispula,no,Literature
Brasil,MG,Uberlândia,Fazenda Experimenta da Universidade Federal de Uberlândia,-18.95,-48.2,Lipoptilocnema crispula,,,,"BARBOSA, Taciano Moura et al. Diversity of sarcosaprophagous Calyptratae (Diptera) on sandy beaches exposed to increasing levels of urbanization in Brazil. Environmental entomology, v. 46, n. 3, p. 460-469, 2017.",ii-ix.2010,,Lipoptilocnema,crispula,no,Literature
Brasil,MT,Chapada dos Guimarães,Vale da Benção,-15.12326,-55.54634,Lipoptilocnema crispula,,,,"BARBOSA, Taciano Moura et al. Diversity of sarcosaprophagous Calyptratae (Diptera) on sandy beaches exposed to increasing levels of urbanization in Brazil. Environmental entomology, v. 46, n. 3, p. 460-469, 2017.",18-21.i.2012,,Lipoptilocnema,crispula,no,Literature
Brasil,CE,Pacatuba,,-3.95253,-38.59584,Lipoptilocnema crispula,,,,,22.vii-24.vii.1973,,Lipoptilocnema,crispula,no,Literature
Brasil,PA,Viseu,Fazenda Ema,-52.3582222,-1.4204167,Oxysarcodexia amorosa,,,,"BARBOSA, Taciano Moura et al. Diversity of sarcosaprophagous Calyptratae (Diptera) on sandy beaches exposed to increasing levels of urbanization in Brazil. Environmental entomology, v. 46, n. 3, p. 460-469, 2017.",13/06/2000,,Oxysarcodexia,amorosa,no,GOELDI
Brasil,RJ,Angra dos Reis,,-22.98678,-44.35299,Oxysarcodexia amorosa,,,,"BARBOSA, Taciano Moura et al. Diversity of sarcosaprophagous Calyptratae (Diptera) on sandy beaches exposed to increasing levels of urbanization in Brazil. Environmental entomology, v. 46, n. 3, p. 460-469, 2017.",4.vii.1971," on sea beach, with dead fishes and crabs or human excrement; near a secondary forest, using human feces and rotten coccus comosa as bait",Oxysarcodexia,amorosa,no,MZUSP
Brasil,RJ,Rio de Janeiro,Grajaú,-22.92322,-43.45093,Oxysarcodexia amorosa,,,,,,Cultura 251,Oxysarcodexia,amorosa,no,MZUSP
Brasil,RJ,Rio de Janeiro,,-22.85167,-43.24083,Oxysarcodexia amorosa,,,,,25.i.2006-30.i.2008,,Oxysarcodexia,amorosa,no,Literature
Brasil,RJ,Paracambi,Floresta,-22.6219,-43.72558,Oxysarcodexia amorosa,,"verificado por Gomes, M.M.",Kepler N. Andrade Herrera,,04.x.2001,peixe,Oxysarcodexia,amorosa,no,MNRJ
Brasil,RJ,Rio das Ostras,Área de Relevante Interesse Ecológico de Itapebussus,-22.48548,-41.88252,Oxysarcodexia amorosa,Van Someren Rydon,,,"SOUSA, J. R. P.; ESPOSITO, M. C.; CARVALHO FILHO, F. da S. Composition, abundance and richness of Sarcophagidae (Diptera: Oestroidea) in forests and forest gaps with different vegetation cover. Neotropical entomology, v. 40, n. 1, p. 20-27, 2011.",29-01.vi.2016,"Material perdido no incêndio e recuperado em planilha; publicado na ref GOMES, Marina Morim; DE MELLO-PATIU, Cátia Antunes. Diversity of flesh flies (Diptera: Sarcophagidae) in an Atlantic forest fragment in Rio das Ostras, RJ, Southeastern Brazil. EntomoBrasilis, v. 14, p. e940-e940, 2021.",Oxysarcodexia,amorosa,no,MNRJ
